Call ID,Segment,Date,Start Time,Calling Party,Dialed Number,Split/Skill,Time,Trunk,ORIGLOGIN,Time,SEGSTOP,Trunk Group,Universal Call ID
1885004,1,1/2/2021,10:42:04 AM,405506,123456789#,EPA_DE,:00:02,001V08019,408006,10:42:00 AM,10:42:09 AM,Vodafone,
1885117,1,1/2/2021,10:51:17 AM,405506,123456789#,EPA_DE,:00:10,001V04012,408006,10:51:00 AM,10:51:27 AM,Vodafone,
1885138,1,1/2/2021,10:52:08 AM,405506,123456789#,EPA_DE,:03:00,001V04013,408006,10:52:00 AM,10:55:08 AM,Vodafone,
1885232,1,1/2/2021,11:00:25 AM,405506,123456789#,EPA_DE,:01:04,001V08010,408006,11:00:00 AM,11:01:29 AM,Vodafone,
1885279,1,1/2/2021,11:08:07 AM,405510,123456789#,EPA_DE,:01:09,001V08013,408010,11:08:00 AM,11:09:16 AM,Vodafone,
1885294,1,1/2/2021,11:12:03 AM,405510,123456789#,EPA_DE,:00:36,001V08015,408010,11:12:00 AM,11:12:39 AM,Vodafone,
1885305,1,1/2/2021,11:13:12 AM,405510,123456789#,EPA_DE,:01:35,001V08017,408010,11:13:00 AM,11:14:47 AM,Vodafone,
1885373,1,1/2/2021,11:25:34 AM,405506,123456789#,EPA_DE,:01:11,001V08020,408006,11:25:00 AM,11:26:45 AM,Vodafone,
1885477,1,1/2/2021,11:52:47 AM,405506,123456789#,EPA_DE,:00:45,001V08022,408006,11:52:00 AM,11:53:32 AM,Vodafone,
1885497,1,1/2/2021,11:58:59 AM,405510,123456789#,EPA_DE,:01:46,001V08023,408010,11:58:00 AM,12:00:45 PM,Vodafone,
1885514,1,1/2/2021,12:02:00 PM,405510,123456789#,EPA_DE,:01:43,001V08024,408010,12:02:00 PM,12:03:43 PM,Vodafone,
1885529,1,1/2/2021,12:05:41 PM,405510,123456789#,EPA_DE,:01:54,001V08025,408010,12:05:00 PM,12:07:35 PM,Vodafone,
1885535,1,1/2/2021,12:08:34 PM,405510,123456789#,EPA_DE,:00:11,001V08026,408010,12:08:00 PM,12:08:45 PM,Vodafone,
1885542,1,1/2/2021,12:09:29 PM,405510,123456789#,EPA_DE,:00:22,001V08027,408010,12:09:00 PM,12:09:51 PM,Vodafone,
1885549,1,1/2/2021,12:11:12 PM,405510,123456789#,EPA_DE,:00:52,001V04003,408010,12:11:00 PM,12:12:04 PM,Vodafone,
1885591,1,1/2/2021,12:12:42 PM,405510,123456789#,EPA_DE,:12:10,001V04004,408010,12:12:00 PM,12:24:52 PM,Vodafone,
1885636,1,1/2/2021,12:38:51 PM,405510,123456789#,EPA_DE,:00:53,001V04006,408010,12:38:00 PM,12:39:44 PM,Vodafone,
